generation,time,best cost,population,mutation,tournament,,,Min,1801,,Baseline 
186,12.46102881,1807.5,5,1,5,,,,,,
99,3.409585476,1801,5,1,5,,,,,,
21,1.0780828,1801.5,5,1,5,,,,,,
82,4.005563974,1812.5,5,1,5,,,,,,
41,1.844918251,1797,5,1,5,,,,,,
270,9.554942369,1794.5,5,1,5,,,,,,
1224,29.27771378,1786,5,1,5,,,,,,
155,6.049509525,1797.5,5,1,5,,,,,,
37,1.472652912,1797.5,5,1,5,,,,,,
131,5.102277279,1800,5,1,5,,,,,,
81,3.346138716,1798.5,5,1,5,,,,,,
109,4.398828983,1797.5,5,1,5,,,,,,
63,2.655505657,1797.5,5,1,5,,,,,,
77,2.840911627,1800.5,5,1,5,,,,,,
116,6.665648222,1801,5,1,5,,,,,,
1,0.254101276,1811.5,5,1,5,,,,,,
133,5.602921963,1797.5,5,1,5,,,,,,
183,7.09748435,1792.5,5,1,5,,,,,,
188,6.728568316,1787,5,1,5,,,,,,
70,2.656521797,1799.5,5,1,5,,,,,,
126,4.986046553,1786.5,5,1,5,,,,,,
81,2.976582766,1800,5,1,5,,,,,,
282,10.97075796,1797.5,5,1,5,,,,,,
107,3.963133335,1787.5,5,1,5,,,,,,
210,8.44145298,1797.5,5,1,5,,,,,,
123,5.181874752,1797.5,5,1,5,,,,,,
50,3.102185249,1801,5,1,5,,,,,,
108,4.083388567,1798.5,5,1,5,,,,,,
331,12.02348375,1790.5,5,1,5,,,,,,
66,2.654358149,1799.5,5,1,5,,,,,,
63,2.708652496,1797.5,5,1,5,,,,,,
Baseline + novel initialisation + novel mutation,,,,,,,,,,,
generation,time,best cost,population,mutation,tournament,,,,,,
305,26.23118567,1800,25,1,5,,,,,,
273,22.48191643,1800,25,1,5,,,,,,
326,26.23629475,1791,25,1,5,,,,,,
195,16.24641228,1790,25,1,5,,,,,,
109,10.45853567,1806.5,25,1,5,,,,,,
367,29.3316412,1798,25,1,5,,,,,,
362,28.86332631,1797.5,25,1,5,,,,,,
29,4.436806202,1812,25,1,5,,,,,,
74,8.519761086,1807,25,1,5,,,,,,
191,15.92567396,1799.5,25,1,5,,,,,,
267,22.64129901,1787,25,1,5,,,,,,
96,10.01050019,1792.5,25,1,5,,,,,,
140,13.54178405,1807,25,1,5,,,,,,
132,12.93364573,1795.5,25,1,5,,,,,,
231,19.71758461,1800,25,1,5,,,,,,
235,20.45727062,1801,25,1,5,,,,,,
276,23.35515976,1804.5,25,1,5,,,,,,
72,7.795672894,1811,25,1,5,,,,,,
259,21.42000699,1804.5,25,1,5,,,,,,
338,26.73179889,1797.5,25,1,5,,,,,,
163,15.10948706,1793,25,1,5,,,,,,
185,16.54945278,1804.5,25,1,5,,,,,,
48,7.0152843,1802,25,1,5,,,,,,
315,27.45195866,1798,25,1,5,,,,,,
186,17.11293554,1799,25,1,5,,,,,,
267,24.95123911,1805,25,1,5,,,,,,
274,24.39722347,1804.5,25,1,5,,,,,,
69,8.806465626,1805.5,25,1,5,,,,,,
326,28.91762376,1803.5,25,1,5,,,,,,
126,13.21622539,1797,25,1,5,,,,,,
292,25.17654419,1792.5,25,1,5,,,,,,
329,27.83245778,1796,25,1,5,,,,,,
21,4.161091566,1809,25,1,5,,,,,,
1,0.229950666,1811.5,25,1,5,,,,,,
287,24.84003735,1797,25,1,5,,,,,,
6,1.340989351,1807.5,25,1,5,,,,,,
85,10.32713199,1809,25,1,5,,,,,,
336,28.81519103,1799.5,25,1,5,,,,,,
167,15.80868959,1805,25,1,5,,,,,,
38,5.316294909,1813,25,1,5,,,,,,
Baseline + novel mutation + novel survivor selection,,,,,,,,,,,
generation,time,best cost,population,mutation,tournament
211,18.593602418899536,1815.0,25,1,5
346,29.471297025680542,1818.5,25,1,5
318,27.292158603668213,1814.0,25,1,5
320,27.177721977233887,1812.0,25,1,5
339,28.968206644058228,1817.5,25,1,5
205,18.06136202812195,1823.5,25,1,5
351,29.78494906425476,1810.5,25,1,5
350,29.988450288772583,1814.0,25,1,5
123,10.567511558532715,1811.0,25,1,5
157,13.542001724243164,1819.5,25,1,5
330,28.165393352508545,1819.0,25,1,5
326,28.053422689437866,1814.0,25,1,5
309,26.619696617126465,1816.0,25,1,5
289,25.10806107521057,1821.5,25,1,5
197,16.898968935012817,1822.5,25,1,5
145,12.277504920959473,1814.5,25,1,5
218,18.792967557907104,1821.0,25,1,5
283,24.339966297149658,1821.5,25,1,5
274,23.718562126159668,1817.5,25,1,5
350,29.931692600250244,1819.0,25,1,5
240,20.46888279914856,1812.5,25,1,5
288,24.62475872039795,1812.5,25,1,5
177,15.437362670898438,1826.0,25,1,5
227,19.49629282951355,1818.0,25,1,5
279,23.538551568984985,1809.5,25,1,5
341,29.53352689743042,1822.5,25,1,5
237,20.46891164779663,1804.5,25,1,5
73,6.324134588241577,1816.0,25,1,5
328,27.207763195037842,1807.5,25,1,5
360,29.77645182609558,1809.5,25,1,5
339,27.91951560974121,1815.5,25,1,5
362,29.784331560134888,1817.0,25,1,5
303,24.72524666786194,1819.0,25,1,5
185,15.211139678955078,1818.5,25,1,5
309,25.306973695755005,1814.0,25,1,5
223,18.37342667579651,1816.0,25,1,5
188,15.501005172729492,1818.0,25,1,5
335,27.217668056488037,1810.0,25,1,5
342,27.93218159675598,1799.5,25,1,5
343,28.16364049911499,1814.5,25,1,5
