generation,time,best cost,average cost,population,mutation,crossover,tournament,unique,,,1785.7375,,
367,9.934843779,1796,1855.5,4,1,1,2,1,,,,,
1083,26.32073689,1799.5,1872.25,10,1,1,2,1,,,,,
551,15.13181329,1800,1885.25,4,1,1,2,1,,,,,
879,29.92003465,1799,1912.05,10,1,1,2,1,,,,,
646,27.57699013,1807,1910.85,10,1,1,2,1,,,,,
236,7.01981473,1806,1889.25,4,1,1,2,1,,,,,
573,28.20270491,1824,1904.95,10,1,1,2,1,,,,,
702,28.64989114,1802.5,1868.1,10,1,1,2,1,,,,,
578,15.23031712,1799.5,1913.85,10,1,1,2,1,,,,,
370,10.3679471,1802.5,1905.375,4,1,1,2,1,,,,,
594,18.20158434,1796,1914.45,10,1,1,2,1,,,,,
50% Cauchy 50% basic init - roulette wheel with cubic scaling - mutation scaling - no crossover ,,,,,,,,,,,,,
generation,time,best cost,average cost,population,mutation,crossover,tournament,unique,,,1787.5,,
510,29.92131782,1789.5,1806.6,10,1,1,2,1,,,,,
390,25.39160895,1793.5,1829.65,10,1,1,2,1,,,,,
473,26.5114758,1789,1823.25,10,1,1,2,1,,,,,
125,6.779947758,1801.5,1814.8,10,1,1,2,1,,,,,
336,23.6529181,1803.5,1820.4,10,1,1,2,1,,,,,
348,21.35512352,1792,1832.15,10,1,1,2,1,,,,,
369,25.61961102,1800,1853.3,10,1,1,2,1,,,,,
496,29.34957576,1792,1825,10,1,1,2,1,,,,,
307,19.62580514,1792,1803.85,10,1,1,2,1,,,,,
284,17.92985725,1797,1843.4,10,1,1,2,1,,,,,
412,27.56559515,1792.5,1822.5,10,1,1,2,1,,,,,
414,27.73978949,1802,1856.35,10,1,1,2,1,,,,,
400,27.20376873,1791.5,1815.6,10,1,1,2,1,,,,,
408,26.74265051,1795,1821.75,10,1,1,2,1,,,,,
367,20.57625198,1793.5,1810.5,10,1,1,2,1,,,,,
403,25.49660301,1796,1815.65,10,1,1,2,1,,,,,
370,24.23641372,1798.5,1815,10,1,1,2,1,,,,,
306,20.68705153,1797,1835.7,10,1,1,2,1,,,,,
320,21.10357165,1797.5,1823.2,10,1,1,2,1,,,,,
215,15.3262074,1801.5,1818.65,10,1,1,2,1,,,,,
251,15.84874535,1793,1814.05,10,1,1,2,1,,,,,
293,16.77369285,1790.5,1821.95,10,1,1,2,1,,,,,
437,28.13335109,1788,1827.6,10,1,1,2,1,,,,,
387,23.6592052,1796.5,1824.15,10,1,1,2,1,,,,,
139,8.239007235,1798,1819.55,10,1,1,2,1,,,,,
298,19.18082929,1791.5,1827.55,10,1,1,2,1,,,,,
325,20.56053901,1795.5,1816.4,10,1,1,2,1,,,,,
342,22.57836699,1799,1807.8,10,1,1,2,1,,,,,
295,17.6473639,1796,1825.95,10,1,1,2,1,,,,,
329,20.2464962,1797,1814.85,10,1,1,2,1,,,,,
372,23.69374824,1796,1818.25,10,1,1,2,1,,,,,
390,26.45369172,1798.5,1819.35,10,1,1,2,1,,,,,
177,10.15927529,1792.5,1821.2,10,1,1,2,1,,,,,
403,26.70245099,1800,1814.8,10,1,1,2,1,,,,,
177,9.407337189,1801,1840.1,10,1,1,2,1,,,,,
319,23.08178568,1803.5,1832.277778,10,1,1,2,1,,,,,
311,19.3597405,1792.5,1821.6,10,1,1,2,1,,,,,
317,18.37345672,1788,1809.45,10,1,1,2,1,,,,,
401,25.8655467,1791.5,1815.65,10,1,1,2,1,,,,,
359,23.38889503,1787.5,1811.9,10,1,1,2,1,,,,,
50% Cauchy 50% basic init - BSCO - mutation scaling - no crossover ,,,,,,,,,,,,,
generation,time,best cost,average cost,population,mutation,crossover,tournament,unique,,,1781.5,1805.5,1787.025
308,25.90863919,1784.5,1786,10,1,0,2,1,,,,,
350,27.79687262,1785.5,1786.5,10,1,0,2,1,,,,,
398,28.46326661,1783.5,1784,10,1,0,2,1,,,,,
295,23.14994192,1783.5,1785.5,10,1,0,2,1,,,,,
393,28.63613415,1784,1784.5,10,1,0,2,1,,,,,
348,28.4299612,1789,1790,10,1,0,2,1,,,,,
328,25.35608387,1783.5,1784.5,10,1,0,2,1,,,,,
359,29.65517592,1785.5,1786,10,1,0,2,1,,,,,
89,11.41963625,1805.5,1811,10,1,0,2,1,,,,,
321,26.98671079,1790,1790.5,10,1,0,2,1,,,,,
342,28.67145681,1784,1786,10,1,0,2,1,,,,,
375,28.92990685,1784.5,1785.5,10,1,0,2,1,,,,,
251,23.28458762,1781.5,1783.5,10,1,0,2,1,,,,,
328,27.53612924,1792.5,1793,10,1,0,2,1,,,,,
405,29.16157675,1787,1788.5,10,1,0,2,1,,,,,
319,25.0216856,1786,1787,10,1,0,2,1,,,,,
322,26.51855516,1791.5,1794.5,10,1,0,2,1,,,,,
319,26.98065996,1783,1784,10,1,0,2,1,,,,,
321,27.44666004,1792.5,1793,10,1,0,2,1,,,,,
368,28.46099257,1785,1786.375,9,1,0,2,1,,,,,
375,27.24219704,1789,1789.5,10,1,0,2,1,,,,,
320,25.67812395,1784,1785.875,9,1,0,2,1,,,,,
297,24.43724608,1784.5,1786,10,1,0,2,1,,,,,
327,24.38314652,1781.5,1782.5,10,1,0,2,1,,,,,
267,20.83788824,1783.5,1784.5,10,1,0,2,1,,,,,
346,27.90923929,1786.5,1787,10,1,0,2,1,,,,,
294,25.19603801,1788.5,1789,10,1,0,2,1,,,,,
322,29.46516442,1790,1791.5,10,1,0,2,1,,,,,
337,26.81309533,1788,1788.5,10,1,0,2,1,,,,,
276,24.63505793,1783.5,1784.5,10,1,0,2,1,,,,,
201,19.08126068,1790.5,1792.5,10,1,0,2,1,,,,,
316,28.26427364,1792,1792.5,10,1,0,2,1,,,,,
203,18.68733263,1785,1786,10,1,0,2,1,,,,,
379,29.78385949,1790,1790.5,10,1,0,2,1,,,,,
359,28.22513962,1783.5,1785,10,1,0,2,1,,,,,
321,28.95529938,1788,1789,10,1,0,2,1,,,,,
253,19.40160203,1789,1789.5,10,1,0,2,1,,,,,
278,24.49353695,1789.5,1790,10,1,0,2,1,,,,,
324,27.52125835,1785.5,1787,10,1,0,2,1,,,,,
351,29.64262342,1787,1788.5,10,1,0,2,1,,,,,
